Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jul 2019,Searches: Aug 2019,Searches: Sep 2019,Searches: Oct 2019,Searches: Nov 2019,Searches: Dec 2019,Searches: Jan 2020,Searches: Feb 2020,Searches: Mar 2020,Searches: Apr 2020,Searches: May 2020,Searches: Jun 2020,Concept: Service,Concept: Other Brands,Concept: Non-Brands,Concept: Others
commercial video production,USD,50,Medium,60,5.19,16.24,,,,,,50,30,50,90,50,70,70,50,50,50,50,50,commercial video production,,Non-Brands,
video marketing solutions,USD,10,High,69,7.85,24.6,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,,,Non-Brands,
corporate videography,USD,20,High,67,6.05,16.67,,,,,,10,20,20,30,10,10,40,20,20,10,10,10,corporate video production,,Non-Brands,
audio visual production services,USD,10,Medium,33,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,10,event video production,,Non-Brands,
music video price packages,USD,10,Medium,43,,,,,,,,10,10,20,20,20,10,20,10,10,10,10,10,music video production,,Non-Brands,
commercial video production services,USD,10,Unknown,,,,,,,,,10,0,0,10,0,10,10,10,10,10,0,0,commercial video production,,Non-Brands,
motion graphics explainer video,USD,10,Medium,46,6.4,20,,,,,,10,10,10,10,10,20,10,10,10,10,10,10,,,Non-Brands,motion graphics
product video service,USD,20,High,91,4.7,13.08,,,,,,10,10,10,30,20,20,20,20,20,20,30,20,,,Non-Brands,
branded video production,USD,20,Medium,45,6.36,11.52,,,,,,10,10,10,10,10,20,30,40,30,30,20,20,,,Non-Brands,
promotional video services,USD,10,Low,20,,,,,,,,10,10,10,0,10,0,10,10,10,10,10,10,promotional video production,,Non-Brands,
explainer video production house,USD,0,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Non-Brands,
b2b video production,USD,10,High,97,,,,,,,,20,10,0,10,10,10,10,10,10,10,10,10,,,Non-Brands,
videography agency,USD,10,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,,,Non-Brands,
corporate film making,USD,10,Unknown,,,,,,,,,10,10,10,10,0,10,10,10,0,0,0,0,corporate video production,,Non-Brands,
corporate promotional video,USD,10,Low,0,,,,,,,,0,0,0,10,10,10,20,20,30,20,20,10,"corporate video production, promotional video production",,Non-Brands,
youtube video production services,USD,10,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,0,,youtube,,
conference video production,USD,10,Medium,43,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,event video production,,Non-Brands,
video post production services,USD,10,High,67,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,,,Non-Brands,
local video production,USD,10,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,,,Non-Brands,
production house services,USD,0,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Non-Brands,
destination video production,USD,0,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Non-Brands,
dragonfly video production,USD,10,Low,0,,,,,,,,0,10,0,0,10,10,10,10,10,10,10,10,,,Non-Brands,
audio video services near me,USD,10,Medium,54,2.85,15.66,,,,,,10,0,10,10,10,10,10,10,10,10,10,10,,,Non-Brands,
service production company,USD,10,High,67,2.14,4.16,,,,,,10,10,10,20,20,10,20,20,10,10,10,10,corporate video production,,Non-Brands,
music video production services,USD,10,High,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,music video production,,Non-Brands,
real estate video brochure,USD,10,Low,0,,,,,,,,0,0,0,10,10,10,10,10,10,0,10,10,,,Non-Brands,
professional video shooting services,USD,10,Low,0,,,,,,,,10,10,0,0,0,0,10,0,10,10,10,10,,,Non-Brands,
saas explainer videos,USD,10,High,67,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,,,Non-Brands,
international video production,USD,10,Medium,57,,,,,,,,10,0,0,0,10,0,0,0,0,0,0,10,,,Non-Brands,
online video production services,USD,10,Unknown,,,,,,,,,0,0,10,10,0,10,10,10,10,10,0,0,,,Non-Brands,
event filming services,USD,20,Unknown,,,,,,,,,140,50,10,10,0,10,0,0,10,0,0,0,event video production,,Non-Brands,
video production company services,USD,10,Unknown,,,,,,,,,10,0,10,10,0,10,0,0,10,10,10,0,corporate video production,,Non-Brands,
2d animated explainer video,USD,10,Medium,57,6.52,33.29,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,,,Non-Brands,
real estate video company,USD,10,High,93,2.27,10.47,,,,,,10,0,10,10,10,0,10,10,10,0,10,10,,,Non-Brands,
best saas explainer videos,USD,10,Unknown,,,,,,,,,0,0,10,10,10,0,10,0,10,10,0,0,,,Non-Brands,
promo video services,USD,10,Unknown,,,,,,,,,10,10,0,0,10,0,10,10,10,10,10,0,promotional video production,,Non-Brands,
live action video production,USD,10,High,74,2.07,8.48,,,,,,10,0,0,10,10,10,10,10,10,10,10,10,,,Non-Brands,
dfw video production,USD,10,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0,,dfw video,,
vista video production,USD,10,Low,14,,,,,,,,10,10,0,10,0,0,0,10,10,10,10,10,,,Non-Brands,
commercial production services,USD,10,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0,commercial video production,,Non-Brands,
audio and video services,USD,10,Low,0,,,,,,,,10,10,10,10,10,10,0,0,0,0,10,10,,,Non-Brands,
videography studios near me,USD,50,Medium,64,1.4,7.99,,,,,,30,40,90,70,70,40,70,40,50,20,70,40,,,Non-Brands,
event video production companies,USD,10,Low,0,,,,,,,,10,0,10,10,0,10,10,10,10,10,10,10,"corporate video production, event video production",,Non-Brands,
whiteboard animation video companies,USD,10,Unknown,,,,,,,,,10,0,10,10,10,10,10,10,10,0,10,0,,,Non-Brands,
list of video production services,USD,10,Unknown,,,,,,,,,10,10,10,10,0,0,10,10,10,0,0,0,,,Non-Brands,
video marketing company near me,USD,10,High,100,5.48,22.79,,,,,,10,10,10,10,20,10,10,10,30,10,10,10,,,Non-Brands,
digital video commercial,USD,10,Unknown,,,,,,,,,0,0,0,10,0,10,0,10,0,10,0,0,commercial video production,,Non-Brands,
video production houses near me,USD,10,High,71,,,,,,,,0,10,0,10,0,10,10,10,10,10,0,10,,,Non-Brands,
video production package,USD,10,High,97,2.02,4.42,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,,,Non-Brands,
product demo video service,USD,10,High,100,,,,,,,,0,10,0,10,10,0,0,0,0,0,0,10,,,Non-Brands,
service video production,USD,10,Unknown,,,,,,,,,0,0,0,10,10,10,10,10,0,10,10,0,,,Non-Brands,
video agency near me,USD,10,High,100,,,,,,,,0,10,10,10,0,0,10,10,10,10,10,10,,,Non-Brands,
whiteboard animation video production,USD,10,Medium,50,,,,,,,,0,10,0,10,10,10,10,10,10,10,10,10,,,Non-Brands,
industrial videography,USD,10,High,79,,,,,,,,0,10,10,10,10,0,0,0,0,10,0,10,,,Non-Brands,
2d explainer video company,USD,10,Unknown,,,,,,,,,0,0,0,0,0,10,10,0,0,0,10,0,,,Non-Brands,
3d animation explainer video,USD,10,High,67,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,,,Non-Brands,3d animation
internal communications video production,USD,10,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,10,10,0,0,,,Non-Brands,
video shoot services,USD,10,Low,29,,,,,,,,10,10,0,10,0,10,0,0,0,10,10,10,,,Non-Brands,
best video editing companies,USD,10,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10,corporate video production,,Non-Brands,
promotional videography,USD,10,Unknown,,,,,,,,,10,10,10,10,10,10,10,0,10,10,0,0,promotional video production,,Non-Brands,
corporate event videographer,USD,10,Unknown,,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,0,"corporate video production, event video production",,Non-Brands,
video content service providers,USD,10,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0,,,Non-Brands,
